[ INFO ] [2018-11-12 11:09:33] com.github.ontio.OntsynhandlerApplication [50] - Starting OntsynhandlerApplication on sss.local with PID 1480 (/Users/sss/dev/localgit/javaProject/SidechainSynHandler/target/classes started by sss in /Users/sss/dev/localgit/javaProject/SidechainSynHandler)
[ INFO ] [2018-11-12 11:09:33] com.github.ontio.OntsynhandlerApplication [663] - The following profiles are active: uat
[ INFO ] [2018-11-12 11:09:33] org.springframework.boot.web.servlet.context.AnnotationConfigServletWebServerApplicationContext [590] - Refreshing org.springframework.boot.web.servlet.context.AnnotationConfigServletWebServerApplicationContext@59fd97a8: startup date [Mon Nov 12 11:09:33 CST 2018]; root of context hierarchy
[ INFO ] [2018-11-12 11:09:35] org.springframework.context.support.PostProcessorRegistrationDelegate$BeanPostProcessorChecker [328] - Bean 'org.springframework.ws.config.annotation.DelegatingWsConfiguration' of type [org.springframework.ws.config.annotation.DelegatingWsConfiguration$$EnhancerBySpringCGLIB$$de7ccd59] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
[ INFO ] [2018-11-12 11:09:38] com.github.ontio.thread.SideChainThread [69] - ######db blockheight:1140
[ INFO ] [2018-11-12 11:09:38] com.github.ontio.thread.MainChainThread [63] - ######remote blockheight:20549
[ INFO ] [2018-11-12 11:09:38] com.github.ontio.thread.MainChainThread [66] - ######db blockheight:10029
[ INFO ] [2018-11-12 11:09:39] com.github.ontio.thread.SideChainThread [65] - ######remote blockheight:31042
[ INFO ] [2018-11-12 11:09:39] com.github.ontio.thread.MainChainThread [63] - ######remote blockheight:20549
[ INFO ] [2018-11-12 11:09:39] com.github.ontio.thread.MainChainThread [66] - ######db blockheight:10030
[ INFO ] [2018-11-12 11:09:39] com.github.ontio.thread.SideChainThread [69] - ######db blockheight:1141
[ INFO ] [2018-11-12 11:09:39] com.github.ontio.thread.MainChainThread [63] - ######remote blockheight:20549
[ INFO ] [2018-11-12 11:09:39] com.github.ontio.thread.MainChainThread [66] - ######db blockheight:10031
[ INFO ] [2018-11-12 11:09:39] com.github.ontio.thread.SideChainThread [65] - ######remote blockheight:31042
[ INFO ] [2018-11-12 11:09:39] com.github.ontio.thread.SideChainThread [69] - ######db blockheight:1142
[ INFO ] [2018-11-12 11:09:39] com.github.ontio.thread.MainChainThread [63] - ######remote blockheight:20549
[ INFO ] [2018-11-12 11:09:39] com.github.ontio.thread.MainChainThread [66] - ######db blockheight:10032
[ INFO ] [2018-11-12 11:09:39] com.github.ontio.thread.SideChainThread [65] - ######remote blockheight:31042
[ INFO ] [2018-11-12 11:09:39] com.github.ontio.thread.SideChainThread [69] - ######db blockheight:1143
[ INFO ] [2018-11-12 11:09:39] com.github.ontio.thread.MainChainThread [63] - ######remote blockheight:20549
[ INFO ] [2018-11-12 11:09:39] com.github.ontio.thread.MainChainThread [66] - ######db blockheight:10033
[ INFO ] [2018-11-12 11:09:39] com.github.ontio.thread.SideChainThread [65] - ######remote blockheight:31042
[ INFO ] [2018-11-12 11:09:39] com.github.ontio.thread.SideChainThread [69] - ######db blockheight:1144
[ INFO ] [2018-11-12 11:09:39] com.github.ontio.thread.MainChainThread [63] - ######remote blockheight:20549
[ INFO ] [2018-11-12 11:09:39] com.github.ontio.thread.MainChainThread [66] - ######db blockheight:10034
[ INFO ] [2018-11-12 11:09:39] com.github.ontio.thread.SideChainThread [65] - ######remote blockheight:31042
[ INFO ] [2018-11-12 11:09:39] com.github.ontio.thread.SideChainThread [69] - ######db blockheight:1145
[ INFO ] [2018-11-12 11:09:39] com.github.ontio.thread.MainChainThread [63] - ######remote blockheight:20549
[ INFO ] [2018-11-12 11:09:39] com.github.ontio.thread.MainChainThread [66] - ######db blockheight:10035
[ INFO ] [2018-11-12 11:09:39] com.github.ontio.thread.SideChainThread [65] - ######remote blockheight:31042
[ INFO ] [2018-11-12 11:09:39] com.github.ontio.thread.SideChainThread [69] - ######db blockheight:1146
[ INFO ] [2018-11-12 11:09:39] com.github.ontio.thread.MainChainThread [63] - ######remote blockheight:20549
[ INFO ] [2018-11-12 11:09:39] com.github.ontio.thread.MainChainThread [66] - ######db blockheight:10036
[ INFO ] [2018-11-12 11:09:39] com.github.ontio.thread.SideChainThread [65] - ######remote blockheight:31042
[ INFO ] [2018-11-12 11:09:39] com.github.ontio.thread.SideChainThread [69] - ######db blockheight:1147
[ INFO ] [2018-11-12 11:09:39] com.github.ontio.thread.MainChainThread [63] - ######remote blockheight:20549
[ INFO ] [2018-11-12 11:09:39] com.github.ontio.thread.MainChainThread [66] - ######db blockheight:10037
[ INFO ] [2018-11-12 11:09:39] com.github.ontio.thread.SideChainThread [65] - ######remote blockheight:31042
